id,siglaUf,regiao,ano,qtdTransicidios
0,AC,Norte,2018,0
1,AL,Nordeste,2018,3
2,AM,Norte,2018,6
3,AP,Norte,2018,0
4,BA,Nordeste,2018,15
5,CE,Nordeste,2018,13
6,DF,Centro-Oeste,2018,2
7,ES,Sudeste,2018,6
8,GO,Centro-Oeste,2018,6
9,MA,Nordeste,2018,3
10,MG,Sudeste,2018,9
11,MS,Centro-Oeste,2018,2
12,MT,Centro-Oeste,2018,8
13,PA,Norte,2018,10
14,PB,Nordeste,2018,5
15,PE,Nordeste,2018,7
16,PI,Nordeste,2018,2
17,PR,Sul,2018,8
18,RJ,Sudeste,2018,16
19,RN,Nordeste,2018,6
20,RO,Norte,2018,1
21,RR,Norte,2018,1
22,RS,Sul,2018,8
23,SC,Sul,2018,4
24,SE,Nordeste,2018,5
25,SP,Sudeste,2018,14
26,TO,Norte,2018,1
27,AC,Norte,2019,0
28,AL,Nordeste,2019,2
29,AM,Norte,2019,5
30,AP,Norte,2019,0
31,BA,Nordeste,2019,8
32,CE,Nordeste,2019,11
33,DF,Centro-Oeste,2019,0
34,ES,Sudeste,2019,4
35,GO,Centro-Oeste,2019,6
36,MA,Nordeste,2019,5
37,MG,Sudeste,2019,5
38,MS,Centro-Oeste,2019,1
39,MT,Centro-Oeste,2019,5
40,PA,Norte,2019,4
41,PB,Nordeste,2019,5
42,PE,Nordeste,2019,8
43,PI,Nordeste,2019,1
44,PR,Sul,2019,7
45,RJ,Sudeste,2019,7
46,RN,Nordeste,2019,4
47,RO,Norte,2019,2
48,RR,Norte,2019,1
49,RS,Sul,2019,7
50,SC,Sul,2019,0
51,SE,Nordeste,2019,1
52,SP,Sudeste,2019,21
53,TO,Norte,2019,2
54,AC,Norte,2020,1
55,AL,Nordeste,2020,8
56,AM,Norte,2020,3
57,AP,Norte,2020,0
58,BA,Nordeste,2020,19
59,CE,Nordeste,2020,22
60,DF,Centro-Oeste,2020,2
61,ES,Sudeste,2020,3
62,GO,Centro-Oeste,2020,4
63,MA,Nordeste,2020,3
64,MG,Sudeste,2020,17
65,MS,Centro-Oeste,2020,2
66,MT,Centro-Oeste,2020,4
67,PA,Norte,2020,4
68,PB,Nordeste,2020,5
69,PE,Nordeste,2020,7
70,PI,Nordeste,2020,2
71,PR,Sul,2020,5
72,RJ,Sudeste,2020,10
73,RN,Nordeste,2020,7
74,RO,Norte,2020,3
75,RR,Norte,2020,1
76,RS,Sul,2020,5
77,SC,Sul,2020,4
78,SE,Nordeste,2020,2
79,SP,Sudeste,2020,29
80,TO,Norte,2020,1
81,AC,Norte,2021,1
82,AL,Nordeste,2021,2
83,AM,Norte,2021,4
84,AP,Norte,2021,2
85,BA,Nordeste,2021,13
86,CE,Nordeste,2021,11
87,DF,Centro-Oeste,2021,2
88,ES,Sudeste,2021,3
89,GO,Centro-Oeste,2021,7
90,MA,Nordeste,2021,4
91,MG,Sudeste,2021,9
92,MS,Centro-Oeste,2021,3
93,MT,Centro-Oeste,2021,3
94,PA,Norte,2021,6
95,PB,Nordeste,2021,2
96,PE,Nordeste,2021,11
97,PI,Nordeste,2021,2
98,PR,Sul,2021,7
99,RJ,Sudeste,2021,12
100,RN,Nordeste,2021,1
101,RO,Norte,2021,1
102,RR,Norte,2021,0
103,RS,Sul,2021,4
104,SC,Sul,2021,2
105,SE,Nordeste,2021,1
106,SP,Sudeste,2021,25
107,TO,Norte,2021,0