id,siglaUf,regiao,ano,qtdFeminicidio
0,AC,Norte,2018,5
1,AL,Nordeste,2018,7
2,AM,Norte,2018,3
3,AP,Norte,2018,2
4,BA,Nordeste,2018,7
5,CE,Nordeste,2018,5
6,DF,Centro-Oeste,2018,28
7,ES,Sudeste,2018,2
8,GO,Centro-Oeste,2018,11
9,MA,Nordeste,2018,6
10,MG,Sudeste,2018,7
11,MS,Centro-Oeste,2018,9
12,MT,Centro-Oeste,2018,6
13,PA,Norte,2018,8
14,PB,Nordeste,2018,5
15,PE,Nordeste,2018,6
16,PI,Nordeste,2018,9
17,PR,Sul,2018,7
18,RJ,Sudeste,2018,22
19,RN,Nordeste,2018,6
20,RO,Norte,2018,4
21,RR,Norte,2018,2
22,RS,Sul,2018,22
23,SC,Sul,2018,4
24,SE,Nordeste,2018,4
25,SP,Sudeste,2018,29
26,TO,Norte,2018,3
27,AL,Nordeste,2019,10
28,CE,Nordeste,2019,6
29,DF,Centro-Oeste,2019,32
30,ES,Sudeste,2019,2
31,GO,Centro-Oeste,2019,1
32,MA,Nordeste,2019,8
33,MT,Centro-Oeste,2019,0
34,PA,Norte,2019,4
35,PB,Nordeste,2019,5
36,PE,Nordeste,2019,8
37,PI,Nordeste,2019,5
38,PR,Sul,2019,3
39,SC,Sul,2019,1
40,SE,Nordeste,2019,3
41,BA,Nordeste,2019,13
42,MG,Sudeste,2019,17
43,MS,Centro-Oeste,2019,5
44,RJ,Sudeste,2019,21
45,RN,Nordeste,2019,3
46,RS,Sul,2019,6
47,SP,Sudeste,2019,44
48,TO,Norte,2019,1
49,AC,Norte,2019,4
50,AM,Norte,2019,12
51,AP,Norte,2019,5
52,RO,Norte,2019,1
53,RR,Norte,2019,5
54,AL,Nordeste,2020,10
55,CE,Nordeste,2020,4
56,DF,Centro-Oeste,2020,17
57,ES,Sudeste,2020,4
58,GO,Centro-Oeste,2020,4
59,MA,Nordeste,2020,6
60,MT,Centro-Oeste,2020,6
61,PA,Norte,2020,4
62,PB,Nordeste,2020,6
63,PE,Nordeste,2020,8
64,PI,Nordeste,2020,6
65,PR,Sul,2020,8
66,SC,Sul,2020,4
67,SE,Nordeste,2020,0
68,BA,Nordeste,2020,19
69,MG,Sudeste,2020,16
70,MS,Centro-Oeste,2020,16
71,RJ,Sudeste,2020,18
72,RN,Nordeste,2020,2
73,RS,Sul,2020,10
74,SP,Sudeste,2020,40
75,TO,Norte,2020,0
76,AC,Norte,2020,7
77,AM,Norte,2020,13
78,AP,Norte,2020,4
79,RO,Norte,2020,5
80,RR,Norte,2020,5
81,AL,Nordeste,2021,7
82,CE,Nordeste,2021,5
83,DF,Centro-Oeste,2021,25
84,ES,Sudeste,2021,1
85,GO,Centro-Oeste,2021,4
86,MA,Nordeste,2021,3
87,MT,Centro-Oeste,2021,5
88,PA,Norte,2021,12
89,PB,Nordeste,2021,3
90,PE,Nordeste,2021,12
91,PI,Nordeste,2021,11
92,PR,Sul,2021,8
93,SC,Sul,2021,4
94,SE,Nordeste,2021,5
95,BA,Nordeste,2021,14
96,MG,Sudeste,2021,17
97,MS,Centro-Oeste,2021,2
98,RJ,Sudeste,2021,25
99,RN,Nordeste,2021,5
100,RS,Sul,2021,9
101,SP,Sudeste,2021,33
102,TO,Norte,2021,7
103,AC,Norte,2021,4
104,AM,Norte,2021,11
105,AP,Norte,2021,2
106,RO,Norte,2021,3
107,RR,Norte,2021,2